,Title,Company,Location,Salary,Snippet,Job_Type
2470,Database Administrator(Oracle) -WFH until further notice| P5...,JK Network Services,Remote in Alabang,"PHP 50,000 - PHP 80,000 a month",This company is over 70 years here in the Philippines mainly focusing on client services and global standards.,database_administrator
2471,Database Administrator,"Tropical Focus Phils., Inc",Temporarily Remote in Pasig,"PHP 35,000 - PHP 60,000 a month",Maintenance and monitoring of database servers.,database_administrator
2472,Database Administrator (Hybrid Set-up),Hunter's Hub Inc.,Taguig,"PHP 30,000 - PHP 50,000 a month",MS SQL database administration – at least 3 years experience.,database_administrator
2473,Database Administrator,Aspiree Inc.,Temporarily Remote in Pasig,,"DB Design, Security, Recovery & Backup, Performance Tuning.",database_administrator
2474,Database Administrator (Hybrid Setup),Hunter's Hub Inc.,Manila,"PHP 40,000 - PHP 60,000 a month","Enhancing database performance by tuning, refining database design.",database_administrator
2475,Database Administrator I,Comfac Technology Options Ltd.,Remote in Mandaluyong,,"Ensure database optimization, integrity, consistency, and security.",database_administrator
2476,Junior Developer/Excel Database and SQL Administrator,OracleCMS International Inc.,Makati,"PHP 25,000 - PHP 28,000 a month","We are seeking a stand-out candidate with a minimum of 2 - 3 years experience in Helpdesk Support and Web Development, with excellent communication skills.",database_administrator
2477,Systems Administrator | Makati City - (Temporary WFH ),Lennor Metier Consulting Philippines,Remote in Makati,"PHP 60,000 a month",Our information technology services company client is looking for a *Systems Administrator*.,database_administrator
2478,Systems Administrator,Philippine Wine Merchants,Pasay,"PHP 25,000 - PHP 35,000 a month",C. Daily database back-up & restoration.,database_administrator
2479,Database Administrator,Cantier Systems Inc.,Muntinlupa,"PHP 35,000 - PHP 50,000 a month",Minimize database downtime and manage parameters to provide fast query responses.,database_administrator
2480,System Administrator,Gentem Consulting Services,Temporarily Remote in San Juan,"PHP 50,000 - PHP 60,000 a month",Familiarity with SQL and database operations.,database_administrator
2481,Database Administrator (Oracle),Aspiree Inc.,Remote in Manila,"PHP 50,000 - PHP 70,000 a month",Working in shifts covering 24x7 global IT operation.,database_administrator
2482,Database Administrator,Arup,Manila,,Oracle database and WebLogic middleware administration.,database_administrator
2483,Database Administrator,WPH Digital PH,Makati,,With at least one (1) year experience in database administration.,database_administrator
2484,Database Administrator,eBiZolution Inc.,Makati,"PHP 65,000 - PHP 75,000 a month",A database administrator (DBA) ensures that the software used to manage a database is properly maintained to allow rapid access when needed.,database_administrator
2485,Purchasing Administrator – Work from Home – 4:30PM – 1:30AM...,FiltaGlobal,"Temporarily Remote in Manila
+2 locations",,Their employees are passionate in consistent and seamless experience for their customers.,database_administrator
2486,Database Administrator,ePLDT,Makati,,Handles multiple database systems and applications.,database_administrator
2487,Database Administrator Lead,CapMan Consulting,Pasig,"PHP 40,000 - PHP 60,000 a month",Database administration and application development: 4 years (Preferred).,database_administrator
2488,Application Database Administrator,Hunter's Hub Inc.,Quezon City,"PHP 30,000 - PHP 50,000 a month","Knowledgeable in using AWS RDS Mainframe, IMS or DB2 DBA,.",database_administrator
2489,Database Administrator | Microsoft SQL Server,"Stark Asia Solutions, Inc.",Pasig,"PHP 80,000 - PHP 100,000 a month","Configure and maintain database servers and processes, including monitoring of system health and performance, to ensure high levels of performance, availability…",database_administrator
2490,IT Administrator (Temp WFH),EMAPTA for General,Remote in Makati,"PHP 50,000 - PHP 60,000 a month","Selected candidate for this role with be working with one of our clients and will focus on project management, integration, and migration of their current…",database_administrator
2491,Senior Database Administrator,CoDev,"Remote in Makati
+1 location",,The database engineer / administrator is responsible for independently analyzing database performance characteristics and collaboratively changing the database…,database_administrator
2492,Database Administrator - Hybrid Setup ( BGC),Hunter's Hub Inc.,Taguig,,MS SQL database administration – at least 3 years experience.,database_administrator
2493,Database Administrator (Hybrid working set-up),Hunter's Hub Inc.,Taguig,"PHP 30,000 - PHP 50,000 a month",The position is responsible for providing general and routine technical support to database environment including overseeing the development and organization of…,database_administrator
2494,Database Administrator (DBA),IT Managers Inc,Temporarily Remote in Fort Bonifacio,"PHP 40,000 - PHP 80,000 a month",Knowledgeable in database advance configuration/setup (database clustering and replication setup).,database_administrator
2495,MS SQL Developer,AbroadWorks Inc.,Philippines,PHP 250 - PHP 350 an hour,"As a US-based company who specializes in HR Services, AbroadWorks focuses on sourcing talented foreign professionals, for either a full-time, part-time, or…",database_administrator
2496,Database Administrator,eTeam Inc,Remote in Taguig,,At least 3 years DBA and must have knowledge and experience in AWS.,database_administrator
2497,HRIS System Administrator,CloudStaff,Temporarily Remote in Ortigas,,"Resource plan management: be the main owner of the data captured within the resource management database, responsible for updating records with meta-data,…",database_administrator
2498,Network Administrator,"Datiles Casedo and Associates, CPAs",Mandaluyong,"PHP 18,000 a month","In general, responsible for overseeing the Firm’s computer systems or database networks to ensure proper maintenance and security.",database_administrator
2499,LINUX ADMINISTRATOR,TechTiera Corp,Remote in Pasay,"PHP 80,000 - PHP 100,000 a month","Bachelor's Degree in Computer Science, Information Technology, Computer Engineering or any related field.",database_administrator
2500,Database Administrator,DXC Technology,"Taguig
+1 location",,Provide technology consulting to external customers and internal project teams.,database_administrator
2501,Database Administrator (Oracle/MSSQL),DBQuest Inc.,Temporarily Remote in Pasig,"PHP 35,000 - PHP 60,000 a month",We are looking for someone who can lead and mentor Jr. DBAs and manage projects effectively.,database_administrator
2502,SQL Database Administrator,"CORE HR Business Solutions, Inc.",Taguig,,Candidate must have at least 3 years database management experience.,database_administrator
2503,Database Administrator,Talentium Inc,Remote in Pasig,,Assists in Liaising with database users in giving database consultation based on business requirements and users’ needs.,database_administrator
2504,Operational Database Administrator,Xelure Technologies,Remote in Makati,,"Understanding Caché, underlining system and database upgrades and updates to production and non-production environments.",database_administrator
2505,SQL Database Administrator,Emerson,Quezon City,,Experience in database and server upgrade activities.,database_administrator
2506,SQL Database Administrator,"Insight Enterprises, Inc.",Pasig,,"A SQL Server DBA (or database administrator) manages the SQL server to successfully store, organize, and access data.",database_administrator
2507,Application Database Administrator: NoSQL Cloud Databases,IBM,Quezon City,,"Has knowledge of database including MongoDB, Cassandra, PostgreSQL, CouchbaseDB etc.",database_administrator
2508,Oracle Database Administrator,PH Security Bank,Remote in Makati,,"Perform database maintenance such as archiving, purging, index rebuild/reorg using different database management tools to maintain an optimal database system.",database_administrator
2509,Database Administrator (Oracle),SGS,Makati,,"Database technologies: Oracle Database Server, Microsoft SQL Server, PostgreSQL.",database_administrator
